country       ,country_code ,indicator ,weekly_count ,rate_14_day            ,date       ,cumulative ,pandemic_wave    ,cases_per_million        ,month   ,quarter
Austria       ,AUT          ,deaths    ,       460.0 ,  117.21027456087      ,2020-01-13 ,   79083.0 ,First Wave       ,   51.49639570009574     ,2020-01 ,2020Q1
Austria       ,AUT          ,cases     ,         0.0 ,    0.0                ,2020-01-20 ,   79083.0 ,First Wave       ,    0.0                  ,2020-01 ,2020Q1
Austria       ,AUT          ,cases     ,      5128.0 ,   91.7531432952141    ,2020-01-20 ,   84211.0 ,First Wave       ,  574.072863369763       ,2020-01 ,2020Q1
Austria       ,AUT          ,cases     ,       227.0 ,    4.72423456205226   ,2020-01-20 ,   84438.0 ,First Wave       ,   25.4123517911342      ,2020-01 ,2020Q1
Austria       ,AUT          ,cases     ,      1462.0 ,   24.449593088915     ,2020-01-20 ,   85900.0 ,First Wave       ,  163.6689793772608      ,2020-01 ,2020Q1
Austria       ,AUT          ,cases     ,     18273.0 ,  315.426618531717     ,2020-01-20 ,  104173.0 ,First Wave       , 2045.638344843151       ,2020-01 ,2020Q1
Austria       ,AUT          ,cases     ,     14894.0 ,  316.075920912283     ,2020-01-20 ,  119067.0 ,First Wave       , 1667.3637338200565      ,2020-01 ,2020Q1
Austria       ,AUT          ,deaths    ,         0.0 ,    0.0                ,2020-01-20 ,  119067.0 ,First Wave       ,    0.0                  ,2020-01 ,2020Q1
Austria       ,AUT          ,deaths    ,       101.0 ,   14.7772265922014    ,2020-01-20 ,  119168.0 ,First Wave       ,   11.306817316760151    ,2020-01 ,2020Q1
Austria       ,AUT          ,deaths    ,         7.0 ,    1.23143554935012   ,2020-01-20 ,  119175.0 ,First Wave       ,    0.7836408041318917   ,2020-01 ,2020Q1
Austria       ,AUT          ,deaths    ,         6.0 ,    1.11948686304556   ,2020-01-20 ,  119181.0 ,First Wave       ,    0.6716921178273356   ,2020-01 ,2020Q1
Austria       ,AUT          ,deaths    ,       102.0 ,   17.7998411224244    ,2020-01-20 ,  119283.0 ,First Wave       ,   11.418766003064707    ,2020-01 ,2020Q1
Austria       ,AUT          ,deaths    ,       397.0 ,   95.9400241630045    ,2020-01-20 ,  119680.0 ,First Wave       ,   44.44362846290871     ,2020-01 ,2020Q1
Austria       ,AUT          ,cases     ,         0.0 ,    0.0                ,2020-01-27 ,  119680.0 ,First Wave       ,    0.0                  ,2020-01 ,2020Q1
Austria       ,AUT          ,cases     ,      3116.0 ,   92.2904969894759    ,2020-01-27 ,  122796.0 ,First Wave       ,  348.83210652499633     ,2020-01 ,2020Q1
Austria       ,AUT          ,cases     ,       172.0 ,    4.46675258355178   ,2020-01-27 ,  122968.0 ,First Wave       ,   19.255174044383626    ,2020-01 ,2020Q1
Austria       ,AUT          ,cases     ,      1907.0 ,   37.7155124160049    ,2020-01-27 ,  124875.0 ,First Wave       ,  213.4861447827882      ,2020-01 ,2020Q1
Austria       ,AUT          ,cases     ,     31613.0 ,  558.467216498908     ,2020-01-27 ,  156488.0 ,First Wave       , 3539.033820145927       ,2020-01 ,2020Q1
Austria       ,AUT          ,deaths    ,         0.0 ,    0.0                ,2020-01-27 ,  156488.0 ,First Wave       ,    0.0                  ,2020-01 ,2020Q1
Austria       ,AUT          ,deaths    ,       125.0 ,   25.3004031048296    ,2020-01-27 ,  156613.0 ,First Wave       ,   13.993585788069495    ,2020-01 ,2020Q1
Austria       ,AUT          ,deaths    ,         8.0 ,    1.67923029456834   ,2020-01-27 ,  156621.0 ,First Wave       ,    0.8955894904364476   ,2020-01 ,2020Q1
Austria       ,AUT          ,deaths    ,         3.0 ,    1.007538176741     ,2020-01-27 ,  156624.0 ,First Wave       ,    0.3358460589136678   ,2020-01 ,2020Q1
Austria       ,AUT          ,deaths    ,       234.0 ,   37.6147585983308    ,2020-01-27 ,  156858.0 ,First Wave       ,   26.195992595266095    ,2020-01 ,2020Q1
Austria       ,AUT          ,cases     ,         0.0 ,    0.0                ,2020-02-03 ,  156858.0 ,First Wave       ,    0.0                  ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,      1838.0 ,   55.459379195277     ,2020-02-03 ,  158696.0 ,First Wave       ,  205.76168542777384     ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,       248.0 ,    4.70184482479135   ,2020-02-03 ,  158944.0 ,First Wave       ,   27.763274203529875    ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,      1941.0 ,   43.0778544899931    ,2020-02-03 ,  160885.0 ,First Wave       ,  217.29240011714313     ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,     44758.0 ,  854.963312176524     ,2020-02-03 ,  205643.0 ,First Wave       , 5010.599301619315       ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,         0.0 ,    0.0                ,2020-02-03 ,  205643.0 ,First Wave       ,    0.0                  ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,       150.0 ,   30.7858887337529    ,2020-02-03 ,  205793.0 ,First Wave       ,   16.792302945683392    ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,        12.0 ,    2.23897372609112   ,2020-02-03 ,  205805.0 ,First Wave       ,    1.3433842356546712   ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,         1.0 ,    0.447794745218224  ,2020-02-03 ,  205806.0 ,First Wave       ,    0.11194868630455596  ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,       365.0 ,   67.057263096429     ,2020-02-03 ,  206171.0 ,First Wave       ,   40.86127050116293     ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,         0.0 ,    0.0                ,2020-02-10 ,  206171.0 ,First Wave       ,    0.0                  ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,       684.0 ,   28.233458686009     ,2020-02-10 ,  206855.0 ,First Wave       ,   76.57290143231627     ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,       335.0 ,    6.52660841155561   ,2020-02-10 ,  207190.0 ,First Wave       ,   37.502809912026244    ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,      2268.0 ,   47.1192020655876    ,2020-02-10 ,  209458.0 ,First Wave       ,  253.8996205387329      ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,     47880.0 , 1037.07024018814      ,2020-02-10 ,  257338.0 ,First Wave       , 5360.1031002621385      ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,         0.0 ,    0.0                ,2020-02-10 ,  257338.0 ,First Wave       ,    0.0                  ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,       118.0 ,   30.002247929621     ,2020-02-10 ,  257456.0 ,First Wave       ,   13.209944983937602    ,2020-02 ,2020Q1
