Country       ,Response_measure                            ,date_start ,date_end   ,stringency_score    ,intervention_duration ,intervention_category ,stringency_category
Estonia       ,EntertainmentVenuesPartial                  ,2021-08-09 ,2022-03-15 , 20.0               ,                  218 ,Public Space          ,Low
Estonia       ,GymsSportsCentres                           ,2020-03-16 ,2020-05-17 , 20.0               ,                   62 ,Public Space          ,Low
Estonia       ,GymsSportsCentres                           ,2021-03-11 ,2021-05-02 , 20.0               ,                   52 ,Public Space          ,Low
Estonia       ,GymsSportsCentresPartial                    ,2020-08-19 ,2021-03-10 , 20.0               ,                  203 ,Public Space          ,Low
Estonia       ,GymsSportsCentresPartial                    ,2021-05-03 ,2021-06-22 , 20.0               ,                   50 ,Public Space          ,Low
Estonia       ,IndoorOver100                               ,2020-06-01 ,2020-07-14 , 20.0               ,                   43 ,Gathering             ,Low
Estonia       ,IndoorOver100                               ,2020-11-28 ,2021-03-02 , 20.0               ,                   94 ,Gathering             ,Low
Estonia       ,IndoorOver100                               ,2021-05-03 ,2021-05-23 , 20.0               ,                   20 ,Gathering             ,Low
Estonia       ,IndoorOver1000                              ,2020-07-15 ,2020-11-27 , 20.0               ,                  135 ,Gathering             ,Low
Estonia       ,IndoorOver1000                              ,2021-06-28 ,2021-08-08 , 20.0               ,                   41 ,Gathering             ,Low
Estonia       ,IndoorOver50                                ,2020-05-18 ,2020-05-31 , 20.0               ,                   13 ,Gathering             ,Low
Estonia       ,IndoorOver50                                ,2021-08-09 ,2022-03-15 , 20.0               ,                  218 ,Gathering             ,Low
Estonia       ,IndoorOver500                               ,2021-05-24 ,2021-06-27 , 20.0               ,                   34 ,Gathering             ,Low
Estonia       ,MasksMandatoryClosedSpaces                  ,2020-11-24 ,2021-06-01 , 20.0               ,                  189 ,Masks                 ,Low
Estonia       ,MasksMandatoryClosedSpacesPartial           ,2021-08-26 ,2022-03-30 , 20.0               ,                  216 ,Masks                 ,Low
Estonia       ,MasksVoluntaryClosedSpaces                  ,2020-03-12 ,2020-05-16 , 20.0               ,                   65 ,Masks                 ,Low
Estonia       ,MasksVoluntaryClosedSpacesPartial           ,2020-05-17 ,2020-07-31 , 20.0               ,                   75 ,Masks                 ,Low
Estonia       ,MasksVoluntaryClosedSpacesPartial           ,2020-10-12 ,2020-11-23 , 20.0               ,                   42 ,Masks                 ,Low
Estonia       ,MasksVoluntaryClosedSpacesPartial           ,2022-03-31 ,2022-07-31 , 20.0               ,                  122 ,Masks                 ,Low
Estonia       ,MassGather50                                ,2020-05-18 ,2020-05-31 , 20.0               ,                   13 ,Gathering             ,Low
Estonia       ,MassGather50Partial                         ,2021-03-03 ,2021-05-02 , 20.0               ,                   60 ,Gathering             ,Low
Estonia       ,MassGather50Partial                         ,2021-08-09 ,2022-03-15 , 20.0               ,                  218 ,Gathering             ,Low
Estonia       ,MassGatherAll                               ,2020-05-18 ,2020-05-31 , 20.0               ,                   13 ,Gathering             ,Low
Estonia       ,MassGatherAll                               ,2020-07-15 ,2021-03-02 , 20.0               ,                  230 ,Gathering             ,Low
Estonia       ,MassGatherAllPartial                        ,2020-06-01 ,2020-07-14 , 20.0               ,                   43 ,Gathering             ,Low
Estonia       ,MassGatherAllPartial                        ,2021-03-03 ,2022-03-15 , 20.0               ,                  377 ,Gathering             ,Low
Estonia       ,NonEssentialShops                           ,2020-03-27 ,2020-05-17 , 55.00000000000001  ,                   51 ,Business              ,Medium
Estonia       ,NonEssentialShops                           ,2021-03-11 ,2021-05-02 , 55.00000000000001  ,                   52 ,Business              ,Medium
Estonia       ,NonEssentialShopsPartial                    ,2021-03-06 ,2021-03-10 , 27.500000000000004 ,                    4 ,Business              ,Low
