,country,date,weekly_count,indicator,stringency_score
139,Austria,2022-02-14,40355.0,cases,
140,Austria,2022-02-14,189.0,deaths,
141,Austria,2022-02-14,56.0,deaths,
142,Austria,2022-02-21,185634.0,cases,
143,Austria,2022-02-21,36981.0,cases,
144,Austria,2022-02-21,205.0,deaths,
145,Austria,2022-02-21,32.0,deaths,
146,Austria,2022-02-28,217174.0,cases,
147,Austria,2022-02-28,29780.0,cases,
148,Austria,2022-02-28,208.0,deaths,
149,Austria,2022-02-28,25.0,deaths,
150,Belgium,2020-12-28,21255.0,cases,
151,Belgium,2020-12-28,16999.0,cases,
152,Belgium,2020-12-28,11283.0,cases,
153,Belgium,2020-12-28,14922.0,cases,
154,Belgium,2020-12-28,57114.0,cases,
155,Belgium,2020-12-28,171.0,deaths,
156,Belgium,2020-12-28,129.0,deaths,
157,Belgium,2020-12-28,21.0,deaths,
158,Belgium,2020-12-28,62.0,deaths,
159,Belgium,2020-12-28,250.0,deaths,
160,Belgium,2021-01-04,13692.0,cases,
161,Belgium,2021-01-04,29329.0,cases,
162,Belgium,2021-01-04,12179.0,cases,
163,Belgium,2021-01-04,12242.0,cases,
164,Belgium,2021-01-04,22871.0,cases,
165,Belgium,2021-01-04,45149.0,cases,
166,Belgium,2021-01-04,386.0,deaths,
167,Belgium,2021-01-04,178.0,deaths,
168,Belgium,2021-01-04,98.0,deaths,
169,Belgium,2021-01-04,23.0,deaths,
170,Belgium,2021-01-04,91.0,deaths,
171,Belgium,2021-01-04,218.0,deaths,
172,Belgium,2021-01-11,13093.0,cases,
173,Belgium,2021-01-11,33998.0,cases,
174,Belgium,2021-01-11,9065.0,cases,
175,Belgium,2021-01-11,13352.0,cases,
176,Belgium,2021-01-11,40000.0,cases,
177,Belgium,2021-01-11,77857.0,cases,
178,Belgium,2021-01-11,342.0,deaths,
179,Belgium,2021-01-11,188.0,deaths,
180,Belgium,2021-01-11,84.0,deaths,
181,Belgium,2021-01-11,22.0,deaths,
182,Belgium,2021-01-11,108.0,deaths,
183,Belgium,2021-01-11,155.0,deaths,
184,Belgium,2021-01-18,14641.0,cases,
185,Belgium,2021-01-18,29873.0,cases,
186,Belgium,2021-01-18,5261.0,cases,
187,Belgium,2021-01-18,13831.0,cases,
188,Belgium,2021-01-18,54823.0,cases,
189,Belgium,2021-01-18,373.0,deaths,
190,Belgium,2021-01-18,256.0,deaths,
191,Belgium,2021-01-18,50.0,deaths,
192,Belgium,2021-01-18,41.0,deaths,
193,Belgium,2021-01-18,149.0,deaths,
194,Belgium,2021-01-25,16375.0,cases,
195,Belgium,2021-01-25,24193.0,cases,
196,Belgium,2021-01-25,3006.0,cases,
197,Belgium,2021-01-25,14116.0,cases,
198,Belgium,2021-01-25,57829.0,cases,
199,Belgium,2021-01-25,293.0,deaths,
200,Belgium,2021-01-25,286.0,deaths,
201,Belgium,2021-01-25,41.0,deaths,
